Time_s,Time_h,T1_Alpha,T2_Alpha,T3_Alpha,T4_Alpha,T5_Alpha,T6_Alpha,T7_Alpha,T8_Alpha,T9_Alpha,T10_Alpha
0.000000,0.000000,0.019241,0.016839,0.025278,0.023949,0.015463,0.035011,0.041959,0.042221,0.038966,0.039110
2979.310303,0.827586,-0.246683,-0.246583,-0.246447,-0.246212,-0.245594,-0.245673,-0.245752,-0.245830,-0.245908,-0.245813
5958.620605,1.655172,-0.237707,-0.237660,-0.237601,-0.237497,-0.237226,-0.237261,-0.237295,-0.237328,-0.237362,-0.237321
8937.930664,2.482759,-0.234270,-0.234256,-0.234235,-0.234200,-0.234112,-0.234124,-0.234135,-0.234146,-0.234156,-0.234143
11917.241211,3.310345,-0.233190,-0.233186,-0.233180,-0.233169,-0.233144,-0.233147,-0.233151,-0.233153,-0.233157,-0.233153
14896.551758,4.137931,-0.232874,-0.232874,-0.232870,-0.232868,-0.232860,-0.232862,-0.232862,-0.232864,-0.232865,-0.232862
17875.861328,4.965517,-0.232781,-0.232783,-0.232782,-0.232782,-0.232779,-0.232778,-0.232779,-0.232781,-0.232780,-0.232780
20855.171875,5.793103,-0.232756,-0.232758,-0.232756,-0.232756,-0.232756,-0.232756,-0.232756,-0.232756,-0.232756,-0.232755
23834.482422,6.620689,-0.232749,-0.232748,-0.232749,-0.232749,-0.232751,-0.232750,-0.232750,-0.232750,-0.232749,-0.232750
26813.792969,7.448276,-0.232747,-0.232747,-0.232746,-0.232747,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746
29793.103516,8.275862,-0.232747,-0.232747,-0.232747,-0.232747,-0.232748,-0.232748,-0.232747,-0.232747,-0.232747,-0.232747
32772.414062,9.103448,-0.232748,-0.232748,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
35751.722656,9.931034,-0.232746,-0.232746,-0.232746,-0.232746,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
38731.035156,10.758621,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746,-0.232746
41710.343750,11.586206,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
44689.656250,12.413794,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
47668.964844,13.241379,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
50648.277344,14.068966,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
53627.585938,14.896552,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
56606.898438,15.724138,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
59586.207031,16.551723,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
62565.515625,17.379311,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
65544.828125,18.206896,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
68524.140625,19.034483,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
71503.445312,19.862068,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
74482.757812,20.689655,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
77462.070312,21.517242,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
80441.382812,22.344828,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
83420.687500,23.172413,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
86400.000000,24.000000,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747,-0.232747
