Time_s,Time_h,T1_Temp,T2_Temp,T3_Temp,T4_Temp,T5_Temp,T6_Temp,T7_Temp,T8_Temp,T9_Temp,T10_Temp
0.000000,0.000000,13.037201,16.501526,13.143021,13.254715,20.527527,17.001579,13.490647,9.994225,6.522522,9.905335
2979.310303,0.827586,163.648956,164.028656,163.618744,163.588997,163.781372,163.653671,163.529953,163.410172,163.294189,163.639374
5958.620605,1.655172,160.934280,161.020477,160.927086,160.920029,160.962234,160.933571,160.906128,160.879791,160.854568,160.930328
8937.930664,2.482759,160.412720,160.428497,160.411449,160.410172,160.417816,160.412613,160.407669,160.402924,160.398438,160.412048
11917.241211,3.310345,160.320541,160.323242,160.320328,160.320084,160.321442,160.320503,160.319702,160.318817,160.318069,160.320419
14896.551758,4.137931,160.304611,160.305054,160.304581,160.304512,160.304718,160.304604,160.304459,160.304306,160.304153,160.304581
17875.861328,4.965517,160.301834,160.301971,160.301849,160.301849,160.301849,160.301849,160.301849,160.301819,160.301788,160.301834
20855.171875,5.793103,160.301361,160.301392,160.301361,160.301353,160.301392,160.301361,160.301361,160.301361,160.301331,160.301361
23834.482422,6.620689,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301270,160.301239
26813.792969,7.448276,160.301300,160.301300,160.301300,160.301300,160.301300,160.301300,160.301300,160.301300,160.301300,160.301300
29793.103516,8.275862,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
32772.414062,9.103448,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
35751.722656,9.931034,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
38731.035156,10.758621,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
41710.343750,11.586206,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
44689.656250,12.413794,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
47668.964844,13.241379,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
50648.277344,14.068966,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
53627.585938,14.896552,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
56606.898438,15.724138,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
59586.207031,16.551723,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
62565.515625,17.379311,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
65544.828125,18.206896,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
68524.140625,19.034483,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
71503.445312,19.862068,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
74482.757812,20.689655,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
77462.070312,21.517242,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
80441.382812,22.344828,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
83420.687500,23.172413,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
86400.000000,24.000000,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239,160.301239
